ISBN,SUBJECT_ID,SUBJECT_TEXT
9788797473870,Straffeprocesret,Straffeprocesret
9788757454420,Straffuldbyrdelsesret,Straffuldbyrdelsesret
9788797473870,Straffuldbyrdelsesret,Straffuldbyrdelsesret
9788757453287,Sundhedsret,Sundhedsret
9788757442960,Udbudsret,Udbudsret
9788757437362,Udlændingeret,Udlændingeret
9788757452587,Udlændingeret,Udlændingeret
9788757454369,Udvidet skatteret (obligatorisk),Udvidet skatteret (obligatorisk)
9788761944979,Udvidet skatteret (obligatorisk),Udvidet skatteret (obligatorisk)
9788757457247,Udvidet skatteret (obligatorisk),Udvidet skatteret (obligatorisk)
9788761941381,Udvidet skatteret (obligatorisk),Udvidet skatteret (obligatorisk)
9781118526866,Konfliktmægling (Master),Konfliktmægling (Master)
9788757446074,Konfliktmægling (Master),Konfliktmægling (Master)
9788205455931,Politiskolen - Grundbøger,Politiskolen - Grundbøger
9788713050833,Politiskolen - Grundbøger,Politiskolen - Grundbøger
9788741251578,Politiskolen - Grundbøger,Politiskolen - Grundbøger
9788757445770,Politiskolen - Grundbøger,Politiskolen - Grundbøger
9788759314920,Politiskolen - Grundbøger,Politiskolen - Grundbøger
